Fecha,Calorías activas,Calorías en reposo,temp max,temp min,Indice BIG MAC
12/03/2023,17052,Total,36.4,23.1,0
05/03/2023,15728,Total,35.8,21.9,0
26/02/2023,15901,Total,31.6,16.6,0
19/02/2023,16004,Total,27.6,14,0
12/02/2023,6672,Total,36.3,21.2,0
05/02/2023,10474,Total,29.7,19.2,0
29/01/2023,15568,Total,32.6,20.4,0
22/01/2023,15594,Total,33.9,22.2,0
15/01/2023,8867,Total,32.2,17.4,0
08/01/2023,17374,Total,32.4,18.9,0
01/01/2023,17752,Total,30.9,16.8,0
25/12/2022,2790,Total,29.1,18.9,0
18/12/2022,3743,Total,28.6,16.4,0
11/12/2022,16828,Total,35.6,21.2,0
04/12/2022,17720,Total,30.5,18.2,0
27/11/2022,19787,Total,29.5,16,0
20/11/2022,19039,Total,30.6,18,0
13/11/2022,17264,Total,27.1,16.5,0
06/11/2022,20348,Total,24.2,9.6,0
30/10/2022,20148,Total,27.3,13.1,0
23/10/2022,15769,Total,22.3,12.4,0
16/10/2022,1344,Total,21.5,8,0
09/10/2022,17772,Total,22.5,9.1,0
02/10/2022,19449,Total,23.2,6.9,0
25/09/2022,17927,Total,20.1,7.4,0
18/09/2022,17894,Total,22,7.9,0
11/09/2022,19493,Total,21.1,4.7,0
04/09/2022,18075,Total,19.1,5.8,0
28/08/2022,20610,Total,21.3,7,0
21/08/2022,1909,Total,17.9,3.7,0
14/08/2022,417,Total,18.6,6.8,0
07/08/2022,501,Total,16.4,3.1,0
31/07/2022,1122,Total,19.3,9,0
24/07/2022,2278,Total,18,5.4,0
17/07/2022,11397,Total,13.6,5.5,0
10/07/2022,3473,Total,15.9,6.3,0
03/07/2022,1115,Total,15.3,1.7,0
26/06/2022,1060,Total,12.4,3.1,0
19/06/2022,7396,Total,17.6,2.4,0
12/06/2022,15961,Total,15.7,2.8,0
05/06/2022,13344,Total,13.6,-0.5,0
29/05/2022,16274,Total,16.2,5.4,0
22/05/2022,14307,Total,17.9,4.9,0
15/05/2022,17295,Total,15.3,3.6,0
